URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/ucum-vitals-common,4.0.1,draft,"2.16.840.1.113883.4.642.3.955",VitalSignsUnits,Vital Signs Units,"Common UCUM units for recording Vital Signs","StructureDefinition/mesures-observation-head-circumference,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp,StructureDefinition/mesures-fr-observation-body-temperature,StructureDefinition/mesures-observation-waist-circumference,StructureDefinition/mesures-observation-pain-severity,StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-body-weight,StructureDefinition/mesures-fr-observation-oxygen-sat,StructureDefinition/mesures-fr-observation-bodyheight,StructureDefinition/mesures-observation-steps-by-day,StructureDefinition/mesures-fr-observation-resp-rate","UCUM"
https://interop.esante.gouv.fr/ig/fhir/mesures/ValueSet/method-glucose-vs,3.1.0-ballot,active,,MethodeGlucoseVS,Méthode de mesures de glycémie sanguine ou interstitielle,"Méthode de mesures de glycémie sanguine ou interstitielle.","StructureDefinition/mesures-observation-glucose","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J145-MethodBodyWeight-ENS/FHIR/JDV-J145-MethodBodyWeight-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.600",JDV_J145-MethodBodyWeight-ENS,null,"JDV pour la méthode de mesure du poids","StructureDefinition/mesures-fr-observation-body-weight","Other"
https://mos.esante.gouv.fr/NOS/JDV_J146-MethodBodyHeight-ENS/FHIR/JDV-J146-MethodBodyHeight-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.601",JDV_J146-MethodBodyHeight-ENS,null,"JDV pour la méthode de mesure de la taille","StructureDefinition/mesures-fr-observation-bodyheight","ans.fr.nos,Other"
https://mos.esante.gouv.fr/NOS/JDV_J147-MethodHeartrate-ENS/FHIR/JDV-J147-MethodHeartrate-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.602",JDV_J147-MethodHeartrate-ENS,null,"JDV pour la méthode de mesure de fréquence cardiaque","StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-oxygen-sat","SCT,Other"
https://mos.esante.gouv.fr/NOS/JDV_J148-ReferenceRangeAppliesTo-CISIS/FHIR/JDV-J148-ReferenceRangeAppliesTo-CISIS,1.2.0,active,"1.2.250.1.213.1.1.5.603",JDV_J148-ReferenceRangeAppliesTo-CISIS,null,"JDV pour le champ d'application de l'intervalle de référence","StructureDefinition/mesures-observation-glucose,StructureDefinition/mesures-fr-observation-heartrate,StructureDefinition/mesures-fr-observation-bmi,StructureDefinition/mesures-fr-observation-bp","ans.fr.nos,SCT"
https://mos.esante.gouv.fr/NOS/JDV_J149-BodySiteBP-ENS/FHIR/JDV-J149-BodySiteBP-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.604",JDV_J149-BodySiteBP-ENS,null,"JDV pour la localisation de la mesure de la pression artérielle","StructureDefinition/mesures-fr-observation-bp","SCT"
https://mos.esante.gouv.fr/NOS/JDV_J150-MethodBP-ENS/FHIR/JDV-J150-MethodBP-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.605",JDV_J150-MethodBP-ENS,null,"JDV pour la méthode de mesure de la pression artérielle","StructureDefinition/mesures-fr-observation-bp","Other"
https://mos.esante.gouv.fr/NOS/JDV_J152-MethodBodyTemperature-ENS/FHIR/JDV-J152-MethodBodyTemperature-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.607",JDV_J152-MethodBodyTemperature-ENS,null,"JDV pour la méthode de la mesure de la température","StructureDefinition/mesures-fr-observation-body-temperature","Other"
https://mos.esante.gouv.fr/NOS/JDV_J153-TypeDiabete-ENS/FHIR/JDV-J153-TypeDiabete-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.608",JDV_J153-TypeDiabete-ENS,null,"JDV pour caractériser le type de diabète dans l'extension DiabetisType","StructureDefinition/mesures-diabetis-type","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J154-TypeGlucose-ENS/FHIR/JDV-J154-TypeGlucose-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.609",JDV_J154-TypeGlucose-ENS,null,"JDV pour caractériser le type de glucose","StructureDefinition/mesures-observation-glucose","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J157-MomentGlucose-ENS/FHIR/JDV-J157-MomentGlucose-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.612",JDV_J157-MomentGlucose-ENS,null,"JDV pour caractériser le moment de la mesure de glucose","StructureDefinition/mesures-observation-glucose","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J158-MethodStepsByDay-ENS/FHIR/JDV-J158-MethodStepsByDay-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.613",JDV_J158-MethodStepsByDay-ENS,null,"JDV pour la méthode de la mesure de nombre de pas par jour","StructureDefinition/mesures-observation-steps-by-day","Other"
https://mos.esante.gouv.fr/NOS/JDV_J159-MethodPainSeverity-ENS/FHIR/JDV-J159-MethodPainSeverity-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.614",JDV_J159-MethodPainSeverity-ENS,null,"JDV pour la méthode de la mesure du niveau de douleur","StructureDefinition/mesures-observation-pain-severity","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J163-GlucoseUnits-ENS/FHIR/JDV-J163-GlucoseUnits-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.639",JDV_J163-GlucoseUnits-ENS,null,"Liste fermée des unités utilisables pour la mesure du glucose avec le profil ENS_ObservationGlucose","StructureDefinition/mesures-observation-glucose","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J164-GlucoseNumberOfDays-ENS/FHIR/JDV-J164-GlucoseNumberOfDays-ENS,1.2.0,active,"1.2.250.1.213.1.1.5.640",JDV_J164-GlucoseNumberOfDays-ENS,null,"Liste fermée des codes utilisables pour la mesure du taux de glucose interstitiel et de l'index de gestion de glycémie (IGG) avec le profil ENS_ObservationGlucose","StructureDefinition/mesures-number-of-days","ans.fr.nos"
